date,aqi,pm25_avg,pm10_avg
2022/1/1,96,96,24
2022/1/2,49,47,49
2022/1/3,77,77,54
2022/1/4,105,105,62
2022/1/5,146,146,57
2022/1/6,135,135,74
2022/1/7,170,170,57
2022/1/8,114,114,57
2022/1/9,114,114,29
2022/1/10,59,59,27
2022/1/11,42,42,39
2022/1/12,59,59,18
2022/1/13,70,33,70
2022/1/14,135,135,50
2022/1/15,88,88,20
2022/1/16,33,33,33
2022/1/17,65,51,65
2022/1/18,138,138,63
2022/1/19,136,136,40
2022/1/20,108,108,59
2022/1/21,141,141,59
2022/1/22,174,174,60
2022/1/23,186,186,60
2022/1/24,199,199,8
2022/1/25,113,113,13
2022/1/26,45,45,17
2022/1/27,43,43,21
2022/1/28,43,43,26
2022/1/29,92,51,92
2022/1/30,163,163,16
2022/1/31,35,35,9
2022/2/1,26,26,18
2022/2/2,35,35,11
2022/2/3,25,25,11
2022/2/4,18,18,11
2022/2/5,19,19,13
2022/2/6,24,24,16
2022/2/7,32,32,26
2022/2/8,58,50,58
2022/2/9,115,115,64
2022/2/10,140,140,63
2022/2/11,130,130,51
2022/2/12,92,92,59
2022/2/13,133,133,17
2022/2/14,51,51,18
2022/2/15,45,45,20
2022/2/16,45,45,37
2022/2/17,78,78,39
2022/2/18,95,95,14
2022/2/19,31,31,19
2022/2/20,32,32,18
2022/2/21,30,30,17
2022/2/22,34,34,25
2022/2/23,52,52,41
2022/2/24,87,72,87
2022/2/25,146,146,18
2022/2/26,49,41,49
2022/2/27,85,72,85
2022/2/28,134,134,16
2022/3/1,45,21,45
2022/3/2,59,54,59
2022/3/3,77,74,77
2022/3/4,84,84,30
2022/3/5,49,22,49
2022/3/6,71,71,47
2022/3/7,78,65,78
2022/3/8,137,137,115
2022/3/9,173,173,154
2022/3/10,201,201,104
2022/3/11,153,153,57
2022/3/12,114,114,65
2022/3/13,143,143,43
2022/3/14,83,83,64
2022/3/15,119,119,82
2022/3/16,122,122,38
2022/3/17,65,65,52
2022/3/18,128,128,24
2022/3/19,73,73,47
2022/3/20,92,92,9
2022/3/21,26,21,26
2022/3/22,65,48,65
2022/3/23,136,136,88
2022/3/24,167,167,95
2022/3/25,128,128,65
2022/3/26,53,53,23
2022/3/27,66,17,66
2022/3/28,77,77,72
2022/3/29,122,122,35
2022/3/30,87,87,18
2022/3/31,44,44,29
2022/4/1,40,40,29
2022/4/2,52,52,52
2022/4/3,82,74,82
2022/4/4,152,152,73
2022/4/5,112,112,52
2022/4/6,60,44,60
2022/4/7,100,72,100
2022/4/8,163,163,106
2022/4/9,163,163,113
2022/4/10,176,176,115
2022/4/11,145,145,69
2022/4/12,53,53,50
2022/4/13,77,77,25
2022/4/14,35,35,21
2022/4/15,34,27,34
2022/4/16,73,63,73
2022/4/17,141,141,83
2022/4/18,157,157,71
2022/4/19,125,125,68
2022/4/20,114,114,84
2022/4/21,87,87,35
2022/4/22,72,44,72
2022/4/23,96,96,96
2022/4/24,134,134,101
2022/4/25,163,163,75
2022/4/26,122,122,26
2022/4/27,42,42,21
2022/4/28,50,50,49
2022/4/29,126,126,11
2022/4/30,69,69,31
2022/5/1,59,59,46
2022/5/2,87,87,58
2022/5/3,111,111,69
2022/5/4,130,130,66
2022/5/5,139,139,49
2022/5/6,87,87,32
2022/5/7,93,93,24
2022/5/8,59,59,29
2022/5/9,75,75,58
2022/5/10,149,149,38
2022/5/11,118,118,21
2022/5/12,59,59,18
2022/5/13,51,51,15
2022/5/14,46,46,22
2022/5/15,55,55,23
2022/5/16,67,67,57
2022/5/17,104,104,37
2022/5/18,88,88,67
2022/5/19,128,128,78
2022/5/20,149,149,64
2022/5/21,133,133,64
2022/5/22,125,125,57
2022/5/23,104,104,56
2022/5/24,102,102,16
2022/5/25,22,20,22
2022/5/26,36,32,36
2022/5/27,64,52,64
2022/5/28,85,85,36
2022/5/29,52,52,25
2022/5/30,52,38,52
2022/5/31,73,73,35
2022/6/1,59,59,51
2022/6/2,78,78,64
2022/6/3,105,105,40
2022/6/4,76,76,29
2022/6/5,61,61,7
2022/6/6,24,17,24
2022/6/7,48,31,48
2022/6/8,78,78,43
2022/6/9,79,79,58
2022/6/10,111,111,49
2022/6/11,76,76,33
2022/6/12,64,64,29
2022/6/13,62,62,31
2022/6/14,58,58,43
2022/6/15,82,82,49
2022/6/16,77,77,69
2022/6/17,135,135,60
2022/6/18,125,125,54
2022/6/19,95,95,60
2022/6/20,121,121,87
2022/6/21,158,158,73
2022/6/22,141,141,21
2022/6/23,52,52,15
2022/6/24,54,25,54
2022/6/25,69,69,54
2022/6/26,80,80,37
2022/6/27,68,68,20
2022/6/28,39,39,13
2022/6/29,26,26,25
2022/6/30,41,41,26
2022/7/1,55,55,49
2022/7/2,109,109,29
2022/7/3,67,67,28
2022/7/4,65,65,49
2022/7/5,110,110,13
2022/7/6,30,30,25
2022/7/7,47,47,37
2022/7/8,59,59,29
2022/7/9,37,37,18
2022/7/10,38,29,38
2022/7/11,59,59,23
2022/7/12,46,46,23
2022/7/13,42,42,20
2022/7/14,31,31,30
2022/7/15,55,34,55
2022/7/16,74,74,33
2022/7/17,48,48,25
2022/7/18,41,34,41
2022/7/19,46,46,46
2022/7/20,75,75,39
2022/7/21,59,59,54
2022/7/22,70,70,18
2022/7/23,44,32,44
2022/7/24,67,67,43
2022/7/25,60,60,38
2022/7/26,74,74,29
2022/7/27,49,49,7
2022/7/28,26,17,26
2022/7/29,50,50,45
2022/7/30,82,82,38
2022/7/31,68,68,55
2022/8/1,89,89,54
2022/8/2,103,103,49
2022/8/3,91,91,51
2022/8/4,94,94,25
2022/8/5,56,56,40
2022/8/6,67,67,38
2022/8/7,81,81,13
2022/8/8,33,33,14
2022/8/9,28,28,23
2022/8/10,42,42,40
2022/8/11,57,57,50
2022/8/12,85,85,58
2022/8/13,118,118,43
2022/8/14,75,75,17
2022/8/15,35,35,12
2022/8/16,45,24,45
2022/8/17,65,65,43
2022/8/18,71,71,17
2022/8/19,38,38,22
2022/8/20,44,43,44
2022/8/21,67,67,17
2022/8/22,38,38,8
2022/8/23,22,19,22
2022/8/24,32,32,25
2022/8/25,36,36,20
2022/8/26,23,23,16
2022/8/27,42,18,42
2022/8/28,55,55,29
2022/8/29,59,59,36
2022/8/30,86,86,11
2022/8/31,26,26,26
2022/9/1,39,30,39
2022/9/2,54,54,54
2022/9/3,87,87,48
2022/9/4,114,114,13
2022/9/5,26,18,26
2022/9/6,33,32,33
2022/9/7,53,45,53
2022/9/8,70,70,69
2022/9/9,115,115,68
2022/9/10,131,131,46
2022/9/11,84,84,64
2022/9/12,128,128,69
2022/9/13,140,140,44
2022/9/14,91,91,42
2022/9/15,67,67,47
2022/9/16,78,78,69
2022/9/17,109,109,30
2022/9/18,44,44,25
2022/9/19,28,28,24
2022/9/20,51,28,51
2022/9/21,66,66,47
2022/9/22,59,59,24
2022/9/23,42,18,42
2022/9/24,83,57,83
2022/9/25,129,129,90
2022/9/26,148,148,90
2022/9/27,141,141,91
2022/9/28,137,137,97
2022/9/29,158,158,102
2022/9/30,160,160,78
2022/10/1,140,140,18
2022/10/2,49,49,11
2022/10/3,30,30,8
2022/10/4,24,14,24
2022/10/5,45,39,45
2022/10/6,75,75,68
2022/10/7,134,134,71
2022/10/8,151,151,9
2022/10/9,19,10,19
2022/10/10,33,21,33
2022/10/11,74,59,74
2022/10/12,135,135,95
2022/10/13,167,167,112
2022/10/14,180,180,117
2022/10/15,188,188,21
2022/10/16,32,32,22
2022/10/17,30,17,30
2022/10/18,68,43,68
2022/10/19,113,113,95
2022/10/20,165,165,107
