date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
2014/1/1,11.4,-1,6.4,11.4,-2.5,4.5,-16.7,18.9,0,0,0,0,0,32.4,286.8,1015.2,0,13.5,110.8,9.6,5,Clear
2014/1/2,7,-5,0.5,7,-6.9,-0.5,-9,50.9,0,0,0,0,0,14.4,36,1018.5,6.5,6.6,94.1,8.1,4,Clear
2014/1/3,9,-2,3.1,8,-5.9,1.2,-13.2,32.4,0,0,0,0,0,16.1,7.7,1022.5,1.9,16.5,111.9,9.6,5,Clear
2014/1/4,2,-6,-1.9,2,-6.1,-3.1,-6.9,69.1,0,0,0,0,0,10.8,68.3,1022.8,12.1,4.8,91,7.9,4,Clear
2014/1/5,6,-7,-0.7,3.7,-12.9,-4.2,-10.9,51.8,0,0,0,0,0,18,16,1024.8,1.4,8.8,112.5,9.9,5,Clear
2014/1/6,0,-3,-0.9,-0.2,-4.7,-2.4,-5.2,73,0,0,0,0,0,14.4,139.8,1026.2,85.7,3,87.7,7.5,4,Partially cloudy
2014/1/7,5,-5,0.2,3.4,-9.5,-2.8,-12,46.9,0,0,0,0,0,18,12.9,1027.4,48.8,8.8,83.2,7.2,4,Partially cloudy
2014/1/8,1,-8,-3.1,-4.6,-12.9,-8,-22.9,21.2,0,0,0,0,0,32.4,338.8,1033.8,7.7,29.5,120.4,10.4,5,Clear
2014/1/9,1,-11,-4.2,-3.8,-16.7,-8.2,-25.6,19.6,0,0,0,0,0,25.2,311.7,1032.1,0,23.5,122.3,10.6,5,Clear
2014/1/10,5,-13,-4.5,2.2,-19.1,-7,-22.8,27.2,0,0,0,0,0,18,303.2,1031.2,1.3,11,116.6,10,5,Clear
2014/1/11,5,-12,-3.5,3.4,-16.7,-5.7,-20.1,30.8,0,0,0,0,0,14.4,301.4,1030.9,25,6.2,89.6,7.8,4,Partially cloudy
2014/1/12,4,-8,-1.6,1,-13.1,-5.3,-23.4,18.6,0,0,0,0,0,32.4,337.6,1036.1,0,23.9,123.3,10.7,5,Clear
2014/1/13,3,-12,-5.2,3,-15.3,-6.9,-19,36.3,0,0,0,0,0,7.2,47.4,1032.1,1.6,6.3,117.1,10,5,Clear
2014/1/14,3,-10,-3.7,2,-16.6,-6,-17.9,36,0,0,0,0,0,18,310.8,1034.3,6,6.4,122.3,10.5,5,Clear
2014/1/15,5,-10,-2.8,5,-15.5,-4.9,-16.7,38.9,0,0,0,0,0,14.4,333.7,1031.2,19,6.6,116.4,10.1,5,Clear
2014/1/16,5,-5,-0.9,3.4,-8.3,-2.7,-8,62.2,0,0,0,0,0,14.4,77.6,1028.3,9,2.4,102.6,8.8,4,Clear
2014/1/17,5,-3,0.3,3.1,-8.7,-3.2,-13.4,42.7,0,0,0,0,0,25.2,235.4,1031.8,8.3,5.6,105.3,9,5,Clear
2014/1/18,6,-8,0.2,5,-11.8,-3.1,-17,28.9,0,0,0,0,0,21.6,28.7,1033,4.6,5.8,127.6,11.1,5,Clear
2014/1/19,5,-3.4,0.1,1.4,-6.7,-2.6,-10.3,51.2,0,0,0,0,0,43.2,299.2,1025.1,8.6,6,85.8,7.5,5,Clear
2014/1/20,3,-3,0,-2.8,-10.6,-6.5,-21.7,18.4,0,0,0,0,0,54,326.5,1030.3,1.1,30,134.4,11.8,5,Clear
2014/1/21,4,-6,-1.2,2.2,-11.7,-4.9,-21.3,21.2,0,0,0,0,0,25.2,317.3,1032.2,2.7,14.1,135.5,11.8,5,Clear
2014/1/22,5,-10,-2.9,5,-15.5,-4.9,-18,33.3,0,0,0,0,0,10.8,39.7,1023.9,3.6,5.8,127.4,11,5,Clear
2014/1/23,3,-8,-2.9,3,-11.8,-4,-13.6,45.3,0,0,0,0,0,8.9,45.3,1016.9,8.2,3.2,92.7,8,4,Clear
2014/1/24,10,-3,2.6,8,-8.7,0.1,-16.4,29.7,0,0,0,0,0,18,7.3,1018,43.3,5.5,39.7,3.3,2,Partially cloudy
2014/1/25,6.5,-2.8,1.9,3.5,-5.1,-0.6,-18.7,23.4,0,0,0,0,0,21.6,34.6,1027.7,30.2,10.8,131.1,11.5,5,Partially cloudy
2014/1/26,3,-5,-1,1,-9.5,-4.3,-10.3,51.5,0,0,0,0,0,18,160.9,1029,26.3,8.9,116.4,10.2,5,Partially cloudy
2014/1/27,8.6,-7,0.7,6.6,-11.9,-2.2,-13.9,44.3,0,0,0,0,0,32.4,352.5,1019.8,9.1,7.6,101.4,8.9,5,Clear
2014/1/28,5,-5,0.1,1.3,-9.5,-3.3,-15.7,31.5,0,0,0,0,0,21.6,150.9,1027.8,29.1,12,138.7,11.9,6,Partially cloudy
2014/1/29,3,-7,-2.4,3,-8.8,-4,-8.7,63.5,0,0,0,0,0,10.8,71,1014.8,18.6,5.1,109.6,9.4,5,Clear
2014/1/30,8,-4.2,2.1,6.9,-7.3,-0.5,-17.3,31.4,0,0,0,0,0,21.6,76.6,1018.4,1.8,10.9,137.4,11.9,6,Clear
2014/1/31,3,-4,0.2,2,-7.1,-1.8,-6.4,61.7,0,0,0,0,0,14.4,47.1,1019.7,21.8,4.5,90.9,7.8,5,Partially cloudy
2014/2/1,4,1,2.6,4,-1.8,0.6,-3,67.2,0,0,0,0,0,14.4,177.6,1016.2,66.5,3.7,99.3,8.4,4,Partially cloudy
2014/2/2,10,-1,4.4,6,-5.5,0.8,-15.5,38.1,0,0,0,0,0,43.2,356,1015.4,52,9.7,143.9,12.6,6,Partially cloudy
2014/2/3,2,-5,-1.1,0,-11.1,-6.4,-33,7.4,0,0,0,0,0,32.4,333.3,1027.5,26.8,27.5,161.2,14,6,Partially cloudy
